FID,feat_name,households,income_100,income_10K,income_125,income_150,income_15k,income_20k,income_25k,income_30k,income_35k,income_40k,income_45k,income_50k,income_60k,income_75k,income_gt_,income_lt_,median_inc,pop_densit,population,year
917,130202010610,428.519999999999982,42.789999999999999,19.730000000000000,35.329999999999998,38.259999999999998,10.310000000000000,6.110000000000000,14.350000000000000,11.970000000000001,11.320000000000000,5.110000000000000,12.770000000000000,42.210000000000001,51.140000000000001,66.230000000000004,29.350000000000001,31.550000000000001,64020.250000000000000,87113.789999999993597,970.940000000000055,2015.000000000000000
918,130202010611,449.519999999999982,34.030000000000001,32.119999999999997,18.739999999999998,32.439999999999998,18.510000000000002,15.199999999999999,27.960000000000001,17.149999999999999,28.739999999999998,9.260000000000000,19.559999999999999,35.890000000000001,41.259999999999998,62.670000000000002,15.130000000000001,40.859999999999999,57423.430000000000291,35358.699999999997090,1908.500000000000000,2015.000000000000000
935,130202020305,23.879999999999999,0.580000000000000,1.650000000000000,1.190000000000000,0.090000000000000,1.760000000000000,1.710000000000000,0.870000000000000,1.360000000000000,0.640000000000000,2.430000000000000,1.160000000000000,3.300000000000000,2.080000000000000,1.710000000000000,0.000000000000000,3.380000000000000,40909.000000000000000,2451.449999999999818,55.560000000000002,2015.000000000000000
936,130202020306,21.870000000000001,0.570000000000000,1.480000000000000,1.130000000000000,0.140000000000000,1.590000000000000,1.510000000000000,0.790000000000000,1.300000000000000,0.590000000000000,2.200000000000000,1.030000000000000,3.000000000000000,1.930000000000000,1.600000000000000,0.070000000000000,2.950000000000000,47223.000000000000000,4316.850000000000364,51.350000000000001,2015.000000000000000
938,130202020308,80.739999999999995,4.010000000000000,4.110000000000000,2.050000000000000,3.050000000000000,5.640000000000000,3.990000000000000,5.230000000000000,5.910000000000000,1.570000000000000,3.440000000000000,3.870000000000000,7.060000000000000,10.680000000000000,9.779999999999999,0.990000000000000,9.350000000000000,46361.500000000000000,25160.990000000001601,352.339999999999975,2015.000000000000000
943,130202020501,22.550000000000001,0.850000000000000,1.300000000000000,1.440000000000000,0.530000000000000,1.450000000000000,1.210000000000000,0.760000000000000,1.720000000000000,0.650000000000000,2.120000000000000,0.910000000000000,3.000000000000000,2.150000000000000,1.920000000000000,0.500000000000000,2.050000000000000,47223.000000000000000,4316.850000000000364,55.939999999999998,2015.000000000000000
944,130202020502,28.750000000000000,1.540000000000000,1.330000000000000,2.160000000000000,1.280000000000000,1.540000000000000,1.100000000000000,0.870000000000000,2.650000000000000,0.870000000000000,2.420000000000000,1.020000000000000,3.590000000000000,3.140000000000000,2.860000000000000,1.180000000000000,1.210000000000000,62963.500000000000000,231865.399999999994179,76.409999999999997,2015.000000000000000
945,130202020503,79.659999999999997,3.990000000000000,4.070000000000000,1.840000000000000,2.960000000000000,5.580000000000000,3.870000000000000,5.360000000000000,5.590000000000000,1.680000000000000,3.240000000000000,3.890000000000000,6.690000000000000,10.570000000000000,9.920000000000000,0.880000000000000,9.520000000000000,45189.199999999997090,14428.409999999999854,348.569999999999993,2015.000000000000000
946,130202020504,67.090000000000003,3.210000000000000,3.510000000000000,4.070000000000000,2.130000000000000,4.000000000000000,2.660000000000000,2.970000000000000,4.890000000000000,2.560000000000000,5.370000000000000,2.690000000000000,7.590000000000000,6.820000000000000,7.330000000000000,1.890000000000000,5.410000000000000,47113.330000000001746,19612.979999999999563,177.150000000000006,2015.000000000000000
947,130202020505,93.239999999999995,4.950000000000000,4.820000000000000,4.760000000000000,3.140000000000000,5.420000000000000,4.070000000000000,4.260000000000000,5.690000000000000,3.660000000000000,6.930000000000000,4.430000000000000,9.630000000000001,10.650000000000000,10.710000000000001,1.850000000000000,8.289999999999999,55719.000000000000000,125778.889999999999418,249.620000000000005,2015.000000000000000
948,130202020506,1020.980000000000018,100.390000000000001,22.920000000000002,68.989999999999995,66.829999999999998,24.649999999999999,41.469999999999999,20.910000000000000,25.070000000000000,38.890000000000001,48.770000000000003,70.540000000000006,93.769999999999996,150.550000000000011,149.650000000000006,42.210000000000001,55.369999999999997,65745.169999999998254,672524.050000000046566,3117.590000000000146,2015.000000000000000
949,130202030101,5638.930000000000291,532.799999999999955,210.430000000000007,384.519999999999982,369.910000000000025,168.889999999999986,242.680000000000007,183.460000000000008,161.479999999999990,215.520000000000010,207.930000000000007,335.060000000000002,506.060000000000002,610.200000000000045,817.820000000000050,294.319999999999993,397.850000000000023,57806.830000000001746,1356494.719999999972060,16157.239999999999782,2015.000000000000000
950,130202030102,7817.119999999999891,632.570000000000050,352.910000000000025,225.740000000000009,484.180000000000007,340.139999999999986,434.610000000000014,255.810000000000002,272.050000000000011,391.470000000000027,399.529999999999973,515.110000000000014,730.159999999999968,1063.160000000000082,1076.720000000000027,170.150000000000006,472.829999999999984,55982.339999999996508,1154006.300000000046566,22086.709999999999127,2015.000000000000000
951,130202030103,5483.569999999999709,569.320000000000050,136.050000000000011,362.199999999999989,470.610000000000014,193.509999999999991,229.189999999999998,175.919999999999987,239.819999999999993,274.370000000000005,174.949999999999989,218.789999999999992,555.909999999999968,632.370000000000005,849.250000000000000,258.750000000000000,142.569999999999993,68881.619999999995343,1523244.689999999944121,15504.329999999999927,2015.000000000000000
952,130202030104,1587.599999999999909,93.340000000000003,85.030000000000001,54.740000000000002,66.180000000000007,89.370000000000005,119.480000000000004,75.390000000000001,90.189999999999998,95.879999999999995,67.980000000000004,79.939999999999998,117.989999999999995,180.479999999999990,166.849999999999994,48.810000000000002,155.960000000000008,62040.330000000001746,1270095.060000000055879,4547.920000000000073,2015.000000000000000
953,130202030105,2195.170000000000073,223.860000000000014,61.640000000000001,48.479999999999997,143.159999999999997,109.090000000000003,115.810000000000002,54.859999999999999,85.900000000000006,84.930000000000007,98.189999999999998,126.390000000000001,186.159999999999997,458.180000000000007,224.569999999999993,33.320000000000000,140.620000000000005,61060.599999999998545,1416768.439999999944121,6882.409999999999854,2015.000000000000000
954,130202030106,8235.809999999999491,838.399999999999977,200.319999999999993,558.539999999999964,478.519999999999982,264.720000000000027,227.319999999999993,441.720000000000027,257.730000000000018,357.810000000000002,355.180000000000007,245.610000000000014,1159.430000000000064,1055.539999999999964,1128.170000000000073,266.240000000000009,400.569999999999993,63202.069999999999709,4518570.169999999925494,24684.540000000000873,2015.000000000000000
955,130202030107,21005.680000000000291,2044.670000000000073,911.759999999999991,1131.480000000000018,953.799999999999955,1044.140000000000100,1219.430000000000064,1053.869999999999891,1074.750000000000000,1013.860000000000014,1057.339999999999918,838.700000000000045,1629.569999999999936,2394.300000000000182,2729.329999999999927,956.070000000000050,952.610000000000014,65543.089999999996508,3901941.669999999925494,54718.110000000000582,2015.000000000000000
956,130202030108,21341.930000000000291,2393.219999999999800,669.190000000000055,1431.890000000000100,1254.309999999999945,601.090000000000032,708.450000000000045,780.539999999999964,902.509999999999991,918.580000000000041,886.759999999999991,839.629999999999995,1828.240000000000009,2912.469999999999800,3087.480000000000018,982.200000000000045,1145.349999999999909,66738.600000000005821,5298814.480000000447035,56674.400000000001455,2015.000000000000000
957,130202030201,2340.000000000000000,212.169999999999987,88.010000000000005,215.939999999999998,228.229999999999990,60.600000000000001,83.849999999999994,102.709999999999994,68.359999999999999,103.909999999999997,78.530000000000001,92.359999999999999,179.259999999999991,266.899999999999977,355.389999999999986,142.860000000000014,60.920000000000002,73645.800000000002910,257732.529999999998836,5874.630000000000109,2015.000000000000000
958,130202030202,4372.000000000000000,425.470000000000027,181.990000000000009,257.829999999999984,338.839999999999975,247.319999999999993,203.139999999999986,233.840000000000003,206.139999999999986,178.169999999999987,113.439999999999998,88.500000000000000,299.620000000000005,390.600000000000023,785.649999999999977,216.889999999999986,204.560000000000002,57331.569999999999709,3911807.549999999813735,11371.819999999999709,2015.000000000000000
959,130202030203,1948.619999999999891,130.490000000000009,144.469999999999999,56.039999999999999,70.829999999999998,159.349999999999994,100.689999999999998,108.560000000000002,102.780000000000001,93.159999999999997,92.879999999999995,63.439999999999998,132.289999999999992,174.560000000000002,197.280000000000001,39.750000000000000,282.050000000000011,46138.750000000000000,3865497.640000000130385,4997.520000000000437,2015.000000000000000
960,130202030301,13701.530000000000655,1625.599999999999909,447.259999999999991,923.909999999999968,1555.150000000000091,345.230000000000018,519.039999999999964,590.120000000000005,454.899999999999977,448.829999999999984,336.639999999999986,331.540000000000020,872.559999999999945,1212.660000000000082,1990.670000000000073,1509.319999999999936,538.110000000000014,80099.759999999994761,2745839.430000000167638,36458.629999999997381,2015.000000000000000
961,130202030302,29801.799999999999272,2783.170000000000073,1232.720000000000027,1716.230000000000018,2136.360000000000127,1551.500000000000000,1622.369999999999891,1083.619999999999891,1479.630000000000109,1161.759999999999991,1330.500000000000000,1095.220000000000027,2098.000000000000000,3039.630000000000109,3404.289999999999964,2273.519999999999982,1793.279999999999973,60567.300000000002910,5168712.759999999776483,67073.169999999998254,2015.000000000000000
962,130202030303,57378.250000000000000,3719.599999999999909,3767.010000000000218,1886.640000000000100,1563.809999999999945,4053.570000000000164,3896.780000000000200,3613.900000000000091,3845.980000000000018,2933.480000000000018,2841.420000000000073,2518.889999999999873,4643.600000000000364,5226.739999999999782,5977.409999999999854,1235.009999999999991,5654.390000000000327,46534.879999999997381,6255125.049999999813735,146019.200000000011642,2015.000000000000000
963,130202030304,84386.869999999995343,4934.970000000000255,6674.380000000000109,2443.579999999999927,2530.750000000000000,6505.970000000000255,5901.479999999999563,5134.090000000000146,4833.050000000000182,4187.930000000000291,4073.150000000000091,3669.449999999999818,5729.270000000000437,7076.390000000000327,7896.930000000000291,1865.519999999999982,10929.959999999999127,43742.260000000002037,7088121.309999999590218,193598.829999999987194,2015.000000000000000
964,130202030305,22905.459999999999127,877.429999999999950,1215.900000000000091,669.279999999999973,403.139999999999986,1413.440000000000055,1881.740000000000009,1569.990000000000009,1752.549999999999955,1106.140000000000100,1459.119999999999891,1072.950000000000045,2163.179999999999836,2304.789999999999964,2895.690000000000055,191.080000000000013,1929.039999999999964,42900.550000000002910,5677329.830000000074506,77392.350000000005821,2015.000000000000000
965,130202030306,3377.079999999999927,259.160000000000025,187.360000000000014,117.099999999999994,38.869999999999997,279.100000000000023,255.620000000000005,147.189999999999998,334.199999999999989,199.500000000000000,197.840000000000003,98.739999999999995,312.339999999999975,283.970000000000027,320.430000000000007,50.899999999999999,294.750000000000000,39574.000000000000000,758526.650000000023283,10780.520000000000437,2015.000000000000000
966,130202030401,339.000000000000000,20.379999999999999,24.050000000000001,13.000000000000000,4.310000000000000,22.420000000000002,20.739999999999998,20.149999999999999,25.539999999999999,15.539999999999999,15.380000000000001,10.949999999999999,39.030000000000001,28.859999999999999,36.560000000000002,7.120000000000000,34.950000000000003,47944.290000000000873,37045.050000000002910,850.700000000000045,2015.000000000000000
