WSA_AGIDF,Ecode
PR0004324,N
NY1400443,S
MA3160000,S
MN1270024,S
PR0004044,N
CA0710003,S
KY1000403,S
AL0001084,S
SC0720003,S
NY5817692,S
NY5801246,S
NY3401151,SB
PR0004545,N
MD0020004,N
AR0000101,S
AR0001076,S
PA5260005,S
AZ0402010,N
TN0000286,S
GA0090001,S
OK1011303,S
CA1910087,S
PA1460048,S
90400692,N
SC1010001,S
FL4130871,S
FL1170814,N
WA5302200,S
OH0802012,S
TX1660018,S
TX1010013,S
NC0407010,S
WV3300218,N
TN0000328,S
PA5320025,N
CA5610080,SB
CA5610046,S
TX1390002,S
IN5249004,S
TN0000639,S
TN0000069,SB
TN0000494,S
TN0000428,SB
MA6000000,S
FL2161212,N
MD0180022,N
MI0003760,S
UTAH29023,S
IL0314740,N
CA3010070,N
CA1910087,S
KY1000403,S
PR0005537,N
CA3410045,N
CA3410013,B
CA3410010,N
CA3410047,N
CA3410001,SB
CA3410020,S
CA3410001,SB
WI4450333,S
TN0000286,S
MI0002838,S
NC0149025,SB
NC0149010,S
CA3310009,SB
TN0000264,S
TN0000188,S
TN0000791,S
TN0000393,S
GA1570121,S
NY5600114,S
RI1592024,SB
NJ1604001,N
MI0002615,SB
CA1910087,S
UTAH29023,S
NM3502507,N
WA5305575,SB
NC4051018,S
CA1910087,S
PR0002702,N
AZ0411060,N
AK2210906,S
AK2212039,S
AK2212039,S
TX0940096,S
NY3100567,S
CO0135718,S
FL2160734,N
FL3354883,N
TN0000242,S
AL0001805,S
FL4565031,N
TN0000117,S
CO0135476,S
CA3510003,B
CA3510007,S
CA3510007,S
OH3102612,S
OH3102612,S
AZ0407120,N
FL4474494,N
MO6010716,S
VA5031150,S
WA5303350,S
CO0121300,S
NJ1345001,S
MA4201000,S
MI0002838,S
SC1310002,S
SC1310001,S
NC0304010,S
SC1320004,S
OH4801411,S
FL1460035,N
IL0316000,S
NJ1345001,S
GA2550000,S
GA2550000,S
GA2550000,S
GA2550000,S
CA2810005,N
OR4100954,S
TX2430001,S
UTAH29011,S
UTAH29023,S
UTAH29109,S
MN1270024,S
CO0116001,S
CA5610050,S
NC0474015,B
NC6054001,S
MA3189000,SB
TN0000474,S
VA1051377,S
VA1185763,SB
VA1051728,SB
GA1570121,S
GA0130031,SB
GA1570001,S
OH2902012,N
CA3410023,N
PA2450063,N
PR0005046,N
PA5020039,S
KY0510188,S
CO0116001,S
CO0121150,S
NJ0327001,S
PA3390024,S
TN0000128,S
AL0000737,SB
IL0310290,SB
IA7727031,S
IA8670701,S
KY0300336,S
CO0107471,S
SC1810003,SB
KY1030292,S
IN5210005,S
CT0150011,S
CT1030021,S
CT1350011,S
AR0000365,S
TX2460043,N
WA5355600,N
CT0490021,N
OH0501111,S
TX1840008,S
ID2350015,N
CA2110002,S
PR0002832,N
PR0005196,N
CO0121300,S
OH2301512,N
CO0143621,S
MS0300005,N
TX0200497,S
NY3100567,S
PR0005316,N
MA4001000,S
MA4171000,S
MA4118000,SB
MA4044000,S
PA6370011,S
CT1100011,N
CA3410021,S
AL0000184,S
AZ0408063,S
CO0116001,S
TN0000820,S
UTAH29023,S
UTAH18026,S
OH0100012,S
NY7003493,S
IN5228003,S
TN0000048,S
PR0005587,N
TX1070190,N
VA1027061,SB
CA1510053,S
CT0350011,B
TN0000474,S
PA7360058,S
OH2201011,S
PR0003872,N
OH3900911,S
OH4700411,S
OH4700711,S
CA1910087,S
RI1615624,S
UTAH25112,S
TX0130001,N
TX1700197,SB
FL6421144,N
NC0425035,N
KY0070282,N
NJ1345001,S
WI4360287,SB
LA1075002,N
AL0001336,S
OH6205011,S
OH6602412,N
TX1550008,S
AR0000782,S
WA5324050,S
GA2170004,S
GA2170020,SB
GA2170097,S
LA1055017,S
NC0113010,S
AL0000867,SB
GA0470000,SB
NC0467043,N
VA3740600,S
SC4210001,S
WA5302714,N
NJ0705001,SB
NJ0712001,S
CA4010022,S
VA3700500,S
WA5377050,S
TX0310001,S
RI1592010,S
KY0890071,S
PR0002822,N
NY7003493,S
AR0000577,SB
MI0002838,S
KY0090287,SB
KY0490096,S
KY0340250,S
KY0090343,S
AZ0410004,N
TN0000929,S
PR0002692,N
NJ0238001,S
GA1350004,S
NY3304336,S
MS0450021,N
DC0000001,S
IL1195150,S
CA4310027,S
TX1160018,S
MO1010399,S
TX0940091,S
TX0940096,S
TX0940022,S
TX0280024,S
GA0510004,S
MS0370011,N
SC1010001,S
TX2270235,S
KY0780241,S
MA2348000,S
NC0496010,S
UTAH06009,SB
HI0000331,S
TX2270161,N
CA1910087,S
TX1010013,S
NY3100567,S
SC3710002,S
AZ0403008,N
AZ0403008,N
LA1005035,N
FL1030050,S
AZ0414004,N
AZ0414004,N
NY3304334,S
MD0120002,S
MD0120016,S
MD0120012,S
TX1013092,S
MA1281000,S
PA4140087,N
WA5377050,S
FL4060165,N
TN0000273,S
IL0311860,SB
NH0691010,N
NY3304336,S
UTAH06013,S
TX1010720,B
HI0000356,B
TX2200012,S
FL6581591,SB
MI0002838,S
OH7803203,SB
OH7802403,SB
OH7802003,SB
KY0630477,S
OK1010821,S
KY0240201,S
MI0002838,S
PR0003383,N
TX0610213,S
AR0000101,S
IL0971070,S
FL4131001,N
CA1910052,B
CA1910087,S
DC0000002,SB
TX1010013,S
NC0326127,N
OH5300612,S
IA9000742,SB
IA4453901,SB
AL0001092,S
CA1910087,S
PA2080028,N
SC0420011,S
CA1910045,S
TX0570004,S
CO0218015,N
KY1090060,S
KY0011016,S
KY0500166,S
KY0440168,S
LA1103151,N
OK1020902,S
FL5110117,N
MS0450006,N
OR4100591,S
AZ0407078,N
CA4310019,B
TX0680002,S
CA3810001,S
VT0005092,S
NC0326332,N
CT0950011,S
CA3410016,B
CA5010040,S
GA1130001,S
NJ1518004,N
IL0790010,S
AR0000056,S
NC0392373,N
MI0002790,S
TX0710002,S
FL2454338,N
MS0530012,S
NY2902853,N
NY4100050,S
UTAH18010,B
MD0090002,S
MD0090002,S
OH3101112,N
TX0610213,S
UTAH18026,S
KY0020386,S
TX1010278,N
ND0900336,S
AL0001805,S
TX0150018,SB
PA7670100,S
CT1240011,B
CT0930011,S
KY0110097,S
KY0760030,S
KY0400233,S
TX1010013,S
TX2200012,S
SC1720001,S
FL6521405,SB
FL6521715,SB
FL6521405,SB
55294506,N
CA1510053,S
ND5301012,S
KY0760030,S
WA5338800,SB
WA5377050,S
WA5338950,S
KY0560258,S
KY0370143,S
KY1060394,S
TX1013298,S
NV0000832,N
TX0210016,N
TX1010013,S
MA4044000,S
FL5360322,N
AL0001092,S
AL0000610,S
AL0000798,S
63506008,N
MA3009000,S
CA3610057,N
55295003,N
AL0000783,S
NC0454025,B
NC6054001,S
KY0630477,S
TN0000188,S
NJ0809002,SB
KY0470393,S
NN0403000,N
WA5308200,S
CA1910063,N
GA0570001,S
LA1055017,S
NC0114010,S
OH0400711,S
AL0001313,S
CT0520011,B
CT0640011,S
WA5380907,SB
OK1010848,S
PR0004524,N
SC0420011,S
CA3810001,S
IL0315820,SB
GA0130001,S
GA1350004,S
GA0130034,SB
SC1220002,S
WA5377050,S
NJ0714001,S
PA6170008,N
SD4601089,S
NJ1204001,SB
OH4102811,S
PR0002872,N
TX1013298,S
AZ0411014,N
TX0790296,S
FL4431490,N
CA1910087,S
TN0000166,SB
TN0000324,S
OH4002012,S
FL6290327,S
IL0971070,S
AL0000133,S
TX0460172,N
CA4210010,S
PR0004895,N
NY3304336,S
OR4100731,S
TX0430044,S
TX0940015,B
LA1103005,N
NC0433010,S
CO0162553,SB
CO0162321,S
TX1011902,B
KY0560258,S
KY0300336,S
AZ0411117,N
CA1910087,S
AZ0410312,N
MA4044000,S
FL2554343,N
PR0003772,N
MD0120003,N
MD0120003,N
NJ0327001,S
TX1010013,S
NC0235010,S
NC0291010,S
NC0235015,S
TX1010678,B
LA1055017,S
NC0416040,N
KY0100011,S
KY0640257,S
KY0220555,S
KY0100064,SB
LA1073055,N
IL0195300,S
LA1017031,S
NY3401150,S
NY5404423,S
NY5404416,S
NY5417686,S
UTAH25112,S
UTAH25112,S
TN0000266,SB
MA3155000,SB
MS0250022,N
KS2010317,S
KS2010311,B
KS2010311,B
PR0004885,N
PA1460073,S
MI0006640,S
SC4610002,S
KY0030660,SB
WI2413515,S
OH7300212,S
PR0004074,N
IN5209006,N
PR0004815,N
FL1200797,N
AZ0402044,N
